,Arousal,Valence,Domain,Liking
F_Delta,0.05013624626601686,0.0440086461645037,0.042407155921417236,0.042417661323033214
F_Theta,0.09216187365712512,0.08051252997877362,0.0777770842069576,0.08075602201906837
F_Alpha,0.11487991782999915,0.0738818714295782,0.07611541061870633,0.08458453616975546
F_Beta,0.16131442150085085,0.09152747567416862,0.1033517416485478,0.11299928229356655
F_Gamma,0.18301292784632567,0.12459871086312012,0.11332400933004855,0.13747995741544675
T_Delta,0.05191650182693334,0.044331268814106414,0.042644486651350975,0.04619846302162246
T_Theta,0.09911112417514448,0.078590848621406,0.08152290342874462,0.08892301810574327
T_Alpha,0.11203635249216301,0.07687456044337006,0.08013841610864002,0.09444411558795901
T_Beta,0.1554437880391084,0.10228076140407688,0.11631043580482762,0.12372040739469606
T_Gamma,0.16706395849242411,0.1170029197672518,0.12542193001798244,0.13453633461282755
P_Delta,0.0505518607904816,0.042478846943299696,0.04370138152233949,0.04631685184338152
P_Theta,0.0969620295244172,0.08217401031611478,0.08158186645267333,0.08655038687567387
P_Alpha,0.10761552990716466,0.09225239232521737,0.08458148766954036,0.08622977965251985
P_Beta,0.18681643273410162,0.10718099641688003,0.11437039669015524,0.13302397703627558
P_Gamma,0.1957665703309316,0.12338932247395897,0.12440103099587181,0.1474870128804615
O_Delta,0.047071883878145565,0.04066743473277916,0.04285517770770052,0.042857499867800804
O_Theta,0.09961758030560332,0.07631884764169922,0.0777869096399618,0.08807880557102388
O_Alpha,0.12225031382439902,0.08857564033564033,0.08239633170298517,0.08856904674794913
O_Beta,0.17358281537930773,0.10735957774793115,0.11082117973280176,0.11869356463869782
O_Gamma,0.19824081974300126,0.13339907254646916,0.13135805663518094,0.15124678331113336
C_Delta,0.049289744561878936,0.044578685806859725,0.04404019139973978,0.043881951407863475
C_Theta,0.09118756798965726,0.08092496926288606,0.07901321585017185,0.08098192250139863
C_Alpha,0.11503564528731898,0.08568603953336248,0.08230469991575172,0.09252283320132734
C_Beta,0.1716507470799385,0.1023614326884268,0.11658462463532268,0.11844158976672062
C_Gamma,0.1821789712081018,0.11745662442952927,0.12165155321618108,0.13297218502842323
PC_Delta,0.04668520866254572,0.044401797971292616,0.04128087419943207,0.043485647173652234
PC_Theta,0.08851837819925794,0.08183133558841076,0.07892357653290015,0.08167330815112481
PC_Alpha,0.11240725360142259,0.08298817405460153,0.08087217439331994,0.08712623721201104
PC_Beta,0.168463554653631,0.10518120804423381,0.10892971045705631,0.12095019110624629
PC_Gamma,0.17557489216706718,0.12482335890475282,0.11611406185957342,0.13081688281188775
