,Timestamp,Engagement,Emotion,Valence,Arousal,Dominance
0,1714408890.2648842,1.241949777209899,Low Fear,2,1,1
1,1714408900.6875975,1.244461171482301,Low Fear,2,1,1
2,1714408911.3773863,1.252404730462108,Low Fear,2,1,1
3,1714408921.7821102,1.2906771695736712,Low Fear,2,1,1
4,1714408932.1976442,1.3062162389338168,Low Fear,2,1,1
5,1714408942.6184466,1.2968191698920712,Low Fear,2,1,1
6,1714408953.0281339,1.3584739143410403,Low Fear,2,1,1
7,1714408963.604189,1.3106915040277896,Low Fear,2,1,1
8,1714408974.0213003,1.2963897031285683,Low Fear,2,1,1
9,1714408984.4398177,1.3179074015444137,Low Fear,2,1,1
10,1714408995.1517596,1.2692066323832352,Low Fear,2,1,1
11,1714409005.5639558,1.282728199254854,Low Fear,2,1,1
12,1714409016.236026,1.262990961947159,Low Fear,2,1,1
13,1714409026.6899908,0.18805478245009333,Low Fear,2,1,1
14,1714409037.0858612,1.2764691866480757,Low Fear,2,1,1
15,1714409047.4954414,1.2763549970006305,Low Fear,2,1,1
16,1714409057.9194305,1.2495981124413307,Low Fear,2,1,1
17,1714409068.3794892,1.2616927251242824,Low Fear,2,1,1
18,1714409078.9774418,1.3553068537077406,Low Fear,2,1,1
