,feature,statistic,p_raw,p_holm,reject_H0
0,bpm,20.0,5.5283308029174805e-06,9.950995445251465e-05,True
1,sdnn,183.0,0.8965883553028107,1.0,False
2,rmssd,98.0,0.028018027544021606,0.3362163305282593,False
3,pnn50,111.0,0.06189882755279541,0.6189882755279541,False
4,hr_mad,115.5,0.4903314427479487,1.0,False
5,lf,127.0,0.1414058655500412,1.0,False
6,hf,183.0,0.8965883553028107,1.0,False
7,lf/hf,186.0,0.9528931677341461,1.0,False
8,p_total,131.0,0.1698138564825058,1.0,False
9,lf_nu,173.0,0.7139776796102524,1.0,False
10,hf_nu,173.0,0.7139776796102524,1.0,False
11,mean_eda,94.0,0.02142883837223053,0.3000037372112274,False
12,mean_tonic,91.0,0.01738584041595459,0.26078760623931885,False
13,scr_peak_count,91.5,0.03284717305725393,0.36131890362979324,False
14,scr_sum_amp,33.0,4.7460198402404785e-05,0.0008068233728408813,True
15,scr_mean_amp,57.0,0.0009199380874633789,0.014719009399414062,True
16,scr_mean_risetime,95.0,0.022940203547477722,0.3000037372112274,False
17,scr_mean_recoverytime,127.0,0.1414058655500412,1.0,False
